timestamp,message,data
2025-07-05T06:22:32.912Z,"🎭 Processing queue item","{""video"":""raw-video-1751695581180-3129576"",""audio"":""raw-audio-1751695581700-231537"",""preset"":{""name"":""Blends"",""type"":""blends""},""queueLength"":1,""timestamp"":972931.6450000107}"
2025-07-05T06:22:32.912Z,"🎭 Starting Blends processing","{""primaryVideo"":""raw-video-1751695581180-3129576"",""audio"":""raw-audio-1751695581700-231537"",""availableVideos"":6,""audioName"":""Forest_Birds (loop) 02.wav"",""timestamp"":972932.0150000006}"
2025-07-05T06:22:32.913Z,"🎭 Step 1: Setting up FFmpeg","{""timestamp"":972932.1300000101}"
2025-07-05T06:22:32.913Z,"🎭 Step 2: Loading FFmpeg core","{""timestamp"":972932.4050000012}"
2025-07-05T06:22:33.038Z,"🎭 Step 3: FFmpeg loaded successfully","{""timestamp"":973057.7800000012}"
2025-07-05T06:22:33.038Z,"🎭 Step 4: Building Blends preset segments","{""timestamp"":973057.9100000113}"
2025-07-05T06:22:33.038Z,"🎭 Step 5: Gathering available videos","{""availableVideosCount"":7,""rawVideoQueueLength"":6,""timestamp"":973057.9600000083}"
2025-07-05T06:22:33.038Z,"🎭 Step 6: Processing videos","{""videosToProcess"":7,""timestamp"":973058.0150000006}"
2025-07-05T06:22:33.038Z,"🎭 Step 6.1: Processing video raw-video-1751695581180-3129576","{""videoIndex"":0,""videoId"":""raw-video-1751695581180-3129576"",""timestamp"":973058.0550000072}"
2025-07-05T06:22:33.039Z,"🎭 Step 6.1a: Processing main video","{""timestamp"":973058.1300000101}"
2025-07-05T06:22:33.039Z,"🎭 Downloading main video (no cached blob)","{""timestamp"":973058.1900000125}"
2025-07-05T06:22:33.044Z,"🎭 Step 6.1b: Computing chunks for main video","{""timestamp"":973063.1650000066}"
2025-07-05T06:23:49.563Z,"🎭 Step 6.1c: Main video chunks computed","{""chunkCount"":512,""timestamp"":1049580.9400000125}"
2025-07-05T06:23:49.563Z,"🎭 Step 6.2: Processing video raw-video-1751695581252-2802271","{""videoIndex"":1,""videoId"":""raw-video-1751695581252-2802271"",""timestamp"":1049581.1200000048}"
2025-07-05T06:23:49.563Z,"🎭 Step 6.2a: Processing additional video","{""timestamp"":1049581.1850000024}"
2025-07-05T06:23:49.563Z,"🎭 Downloading additional video (no cached blob)","{""timestamp"":1049581.2600000054}"
2025-07-05T06:23:49.569Z,"🎭 Step 6.2b: Computing chunks for additional video","{""timestamp"":1049587.4100000113}"
2025-07-05T06:24:51.359Z,"🎭 Step 6.2c: Additional video chunks computed","{""chunkCount"":312,""timestamp"":1111375.9849999994}"
